column,row,field,channel,rel_fp
G,8,4,2,MFGTMP_220411120001/MFGTMP_220411120001_G08f04d2.TIF
D,9,8,1,MFGTMP_220411120001/MFGTMP_220411120001_D09f08d1.TIF
G,9,4,2,MFGTMP_220411120001/MFGTMP_220411120001_G09f04d2.TIF
E,5,6,4,MFGTMP_220411120001/MFGTMP_220411120001_E05f06d4.TIF
F,6,3,1,MFGTMP_220411120001/MFGTMP_220411120001_F06f03d1.TIF
F,11,5,1,MFGTMP_220411120001/MFGTMP_220411120001_F11f05d1.TIF
E,4,6,4,MFGTMP_220411120001/MFGTMP_220411120001_E04f06d4.TIF
F,7,3,1,MFGTMP_220411120001/MFGTMP_220411120001_F07f03d1.TIF
F,10,5,1,MFGTMP_220411120001/MFGTMP_220411120001_F10f05d1.TIF
G,3,4,1,MFGTMP_220411120001/MFGTMP_220411120001_G03f04d1.TIF
D,3,8,2,MFGTMP_220411120001/MFGTMP_220411120001_D03f08d2.TIF
G,2,4,1,MFGTMP_220411120001/MFGTMP_220411120001_G02f04d1.TIF
D,2,8,2,MFGTMP_220411120001/MFGTMP_220411120001_D02f08d2.TIF
C,5,8,0,MFGTMP_220411120001/MFGTMP_220411120001_C05f08d0.TIF
G,5,1,0,MFGTMP_220411120001/MFGTMP_220411120001_G05f01d0.TIF
C,4,8,0,MFGTMP_220411120001/MFGTMP_220411120001_C04f08d0.TIF
G,4,1,0,MFGTMP_220411120001/MFGTMP_220411120001_G04f01d0.TIF
B,2,0,0,MFGTMP_220411120001/MFGTMP_220411120001_B02f00d0.TIF
E,2,5,3,MFGTMP_220411120001/MFGTMP_220411120001_E02f05d3.TIF
G,9,2,4,MFGTMP_220411120001/MFGTMP_220411120001_G09f02d4.TIF
E,3,5,3,MFGTMP_220411120001/MFGTMP_220411120001_E03f05d3.TIF
G,8,2,4,MFGTMP_220411120001/MFGTMP_220411120001_G08f02d4.TIF
B,3,0,0,MFGTMP_220411120001/MFGTMP_220411120001_B03f00d0.TIF
B,4,5,1,MFGTMP_220411120001/MFGTMP_220411120001_B04f05d1.TIF
E,4,0,2,MFGTMP_220411120001/MFGTMP_220411120001_E04f00d2.TIF
E,5,0,2,MFGTMP_220411120001/MFGTMP_220411120001_E05f00d2.TIF
B,5,5,1,MFGTMP_220411120001/MFGTMP_220411120001_B05f05d1.TIF
G,3,6,3,MFGTMP_220411120001/MFGTMP_220411120001_G03f06d3.TIF
E,8,1,4,MFGTMP_220411120001/MFGTMP_220411120001_E08f01d4.TIF
G,2,6,3,MFGTMP_220411120001/MFGTMP_220411120001_G02f06d3.TIF
E,9,1,4,MFGTMP_220411120001/MFGTMP_220411120001_E09f01d4.TIF
G,5,3,2,MFGTMP_220411120001/MFGTMP_220411120001_G05f03d2.TIF
C,6,3,4,MFGTMP_220411120001/MFGTMP_220411120001_C06f03d4.TIF
C,11,5,4,MFGTMP_220411120001/MFGTMP_220411120001_C11f05d4.TIF
G,4,3,2,MFGTMP_220411120001/MFGTMP_220411120001_G04f03d2.TIF
C,7,3,4,MFGTMP_220411120001/MFGTMP_220411120001_C07f03d4.TIF
C,10,5,4,MFGTMP_220411120001/MFGTMP_220411120001_C10f05d4.TIF
E,2,7,1,MFGTMP_220411120001/MFGTMP_220411120001_E02f07d1.TIF
B,2,2,2,MFGTMP_220411120001/MFGTMP_220411120001_B02f02d2.TIF
B,3,2,2,MFGTMP_220411120001/MFGTMP_220411120001_B03f02d2.TIF
